Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
8468,0.917899031,0.843874916,0.807685348,0.845519896,0.142223949,-0.263754974,-0.085629322,-0.599101306,-0.048965161,-0.344922099,0.010223861,-0.67879597,0.435923962,0.15630558,-0.282588102,-0.367107584,-0.450410944,-0.466326449,0.007872516,-0.64101422,-0.450410944,-0.466326449,0.007872516,-0.64101422,1,1,1,1
8512,0.924478952,0.855389778,0.807685348,0.848809857,0.192835223,-0.230202593,-0.085629322,-0.599101306,-0.024526053,-0.326445031,-0.014296183,-0.687224369,0.470861809,0.169041935,-0.303840609,-0.362041142,-0.43517815,-0.493045091,-4.06E-04,-0.637690564,-0.43517815,-0.493045091,-4.06E-04,-0.637690564,1,1,1,1
8618,0.909674129,0.855389778,0.809330329,0.847164876,0.285409458,-0.142290018,-0.085629322,-0.599101306,-0.003987484,-0.312719608,-0.03760332,-0.695926286,0.527923969,0.188028342,-0.324558198,-0.331750127,-0.415790052,-0.518480411,-0.009030544,-0.636080374,-0.415790052,-0.518480411,-0.009030544,-0.636080374,1,1,1,1
8736,0.904739188,0.837294994,0.809330329,0.842229935,0.406765649,-0.085819793,-0.085629322,-0.589919916,0.012183846,-0.303596506,-0.059175773,-0.70787349,0.583741449,0.213032854,-0.344539516,-0.2878297,-0.393192478,-0.539851582,-0.019686158,-0.641724448,-0.393192478,-0.539851582,-0.019686158,-0.641724448,1,1,1,1
8799,0.894869306,0.834005034,0.809330329,0.837294994,0.493193453,-0.04417243,-0.085629322,-0.57161106,0.023144565,-0.29924495,-0.094768919,-0.722732829,0.622848435,0.238882499,-0.355344327,-0.244532281,-0.368054313,-0.556366052,-0.044617362,-0.655332666,-0.368054313,-0.556366052,-0.044617362,-0.655332666,1,1,1,1
8857,0.894869306,0.843874916,0.81426527,0.837294994,0.510094974,-0.030153114,-0.103319317,-0.561770116,0.027856102,-0.30340251,-0.120669725,-0.738464617,0.639744744,0.243848666,-0.369386167,-0.206769508,-0.343800912,-0.620403279,-0.073817656,-0.67390712,-0.343800912,-0.620403279,-0.073817656,-0.67390712,1,1,1,1
9028,0.904739188,0.834005034,0.81591025,0.835650014,0.510094974,-0.027460141,-0.129069982,-0.56153489,0.026904307,-0.305936429,-0.13989177,-0.752713188,0.638605073,0.266234828,-0.38585884,-0.173396249,-0.323881424,-0.661350825,-0.101952837,-0.693703441,-0.323881424,-0.661350825,-0.101952837,-0.693703441,1,1,1,1
9095,0.945863697,0.838939975,0.81755523,0.829070093,0.500126907,-0.027460141,-0.165503176,-0.663082839,0.036269992,-0.306136828,-0.160561053,-0.793785816,0.641453696,0.295075692,-0.413471769,-0.162688721,-0.308427335,-0.68460971,-0.123727559,-0.722979318,-0.308427335,-0.68460971,-0.123727559,-0.722979318,1,1,1,1
9173,0.919544011,0.845519896,0.81591025,0.827425112,0.49528959,-0.027460141,-0.190886107,-0.710839221,0.042267135,-0.303449508,-0.19036504,-0.834222128,0.645400486,0.325300621,-0.465283375,-0.118048577,-0.289136304,-0.700859361,-0.140892336,-0.757561073,-0.289136304,-0.700859361,-0.140892336,-0.757561073,1,1,1,1
9324,0.901449228,0.825780132,0.820845191,0.829070093,0.49528959,-0.027460141,-0.204794588,-0.717864643,0.054266494,-0.294878289,-0.234968806,-0.865803915,0.66164573,0.352035133,-0.549235333,-0.080392646,-0.278850152,-0.715963858,-0.161499934,-0.797974811,-0.278850152,-0.715963858,-0.161499934,-0.797974811,1,1,1,1
